p,omega,rho,ord,ord2,ord4,f4
0.56,0.03997031413879595,0.5,0.04461746215820131,0.002196346093565335,7.453064955059721e-06,0.13346503051759612
0.56,0.04576591234696057,0.5,0.04424398071288873,0.00215946512982261,7.15640637661437e-06,0.13300422973634454
0.58,0.00457999025857436,0.5,0.1656294506835919,0.03620602191209827,0.0031878255348230596,0.15267803100582875
0.58,0.004000000000000001,0.5,0.6022392834471939,0.36311681414293306,0.1324660489582137,0.27424160400392433
0.58,0.005244077692159,0.5,0.11658127563476374,0.016375828298478605,0.0005414816498229746,0.14654690063474438
0.58,0.0060044561863238305,0.5,0.08871280883788828,0.009163547873347819,0.0001545889120802855,0.14337589599607786
0.58,0.0068750877103499145,0.5,0.07923998901366822,0.007281602643281269,9.621651596281489e-05,0.1418841503906194
0.58,0.007871958685061724,0.5,0.07322517944335796,0.006132635295540309,6.609366772473429e-05,0.14087270019531087
0.58,0.015491933384829673,0.5,0.05391007202148409,0.0032458401195703517,1.7082701619150192e-05,0.13652159179689116
0.58,0.009013373523370628,0.5,0.06611134399414066,0.005024034953862567,4.763352979317961e-05,0.1395737976074274
0.58,0.01353010160301253,0.5,0.056909122314451714,0.003628458328097933,2.1451488233816537e-05,0.13721516235352874
0.58,0.010320290733482368,0.5,0.06604689941406258,0.004997952246665998,4.461681411374071e-05,0.13904903442383384
0.58,0.01181670775625111,0.5,0.06050075683593743,0.004121268559992246,2.8196147298503373e-05,0.1380441027832148
0.58,0.05240185818096181,0.5,0.04172332519530995,0.001913143149316528,5.571975764147988e-06,0.1314856152343905
0.58,0.03997031413879595,0.5,0.04373837524413838,0.0021107701106370972,6.868998491475542e-06,0.13247034667970728
0.58,0.020310225567949636,0.5,0.050489493408202434,0.0028333512373268197,1.2684506121201275e-05,0.13520963256837512
0.58,0.017738225997250678,0.5,0.052470733642577566,0.003067711156457569,1.5100371330237588e-05,0.13592010131837587
0.58,0.03490864554916128,0.5,0.04521021728515425,0.002261395387649641,7.995642145554845e-06,0.13304023681642302
0.58,0.023255158812664285,0.5,0.04859657104492093,0.0026187606559693764,1.0775809323800549e-05,0.13459806152345305
0.58,0.026627100205900502,0.5,0.047642570800779646,0.002512814577817941,9.792545858068897e-06,0.13408063354494074
0.58,0.04576591234696057,0.5,0.04276769165038879,0.002011353647560093,6.146659628297117e-06,0.13200317749025262
0.58,0.06,0.5,0.04122321166991927,0.0018687512122096657,5.34211085955428e-06,0.13105420288087682
0.58,0.030487964889276898,0.5,0.0459933435058575,0.0023436932910979214,8.638481927590344e-06,0.13352932250978153
0.6,0.00457999025857436,0.5,0.10328607299804159,0.012919143868833034,0.000348462802048002,0.14385217285154941
0.6,0.004000000000000001,0.5,0.17955260253906183,0.04411987039923617,0.0046800428104003915,0.15240096191403849
0.6,0.005244077692159,0.5,0.0856059167480441,0.008524736326783957,0.00013161813924566061,0.14165985961913688
0.6,0.010320290733482368,0.5,0.05950999755859507,0.0039711816495656,2.5667232328609964e-05,0.13706633422853273
0.6,0.0060044561863238305,0.5,0.08130409912109085,0.007731820850670562,0.00011218034726522696,0.1405840270996108
0.6,0.0068750877103499145,0.5,0.07049888549804646,0.0057066934858263935,5.83662248611533e-05,0.13935369750977192
0.6,0.009013373523370628,0.5,0.06205611083984408,0.004344968419373008,3.143208521162297e-05,0.1375987194824343
0.6,0.007871958685061724,0.5,0.06536973510742203,0.004830757623463882,3.909876701413079e-05,0.13849318725586846
0.6,0.017738225997250678,0.5,0.04983448730468592,0.0027594732537864377,1.2040323473176432e-05,0.13447941894533094
0.6,0.01181670775625111,0.5,0.056028625488280706,0.003515700810253544,2.0060889282685272e-05,0.13629944946290679
0.6,0.01353010160301253,0.5,0.05391453613281124,0.003251713598370463,1.7114618930342124e-05,0.13569473144532812
0.6,0.015491933384829673,0.5,0.05200790649413933,0.0030281725756823486,1.5093828184299092e-05,0.13505783813478014
0.6,0.023255158812664285,0.5,0.047183365478513456,0.002469515566378857,9.596643577549918e-06,0.1334371484375172
0.6,0.030487964889276898,0.5,0.04450025512695111,0.0021836889858544936,7.346904334623789e-06,0.1324232641601743
0.6,0.03997031413879595,0.5,0.04273845825195138,0.0020115260691942623,6.214483497198847e-06,0.13162361572267361
0.6,0.03490864554916128,0.5,0.04362534790038848,0.0020976570455731487,6.743467410331796e-06,0.13205728271486317
0.6,0.020310225567949636,0.5,0.04764186035156034,0.0025159797039628227,1.000061710451507e-05,0.1339007360840012
0.6,0.026627100205900502,0.5,0.04567547241210638,0.002305888871997701,8.247949817846655e-06,0.13295050903322367
0.6,0.05240185818096181,0.5,0.04123427246093552,0.0018686861550810232,5.309324498153876e-06,0.13079652343751821
0.6,0.06,0.5,0.03999805297851348,0.0017539975894989759,4.627299459542846e-06,0.130249549560565
0.6,0.04576591234696057,0.5,0.04224299682616935,0.0019639238901438083,5.889628144816799e-06,0.13124711059572308
0.62,0.00457999025857436,0.5,0.09311220947265224,0.010430095848738885,0.00022136620976420782,0.1406277783203121
0.62,0.004000000000000001,0.5,0.1017135217285115,0.012540540130882828,0.0003158660443025496,0.14188177246092626
0.62,0.005244077692159,0.5,0.07642514404296635,0.006780534738898408,8.405951807664874e-05,0.1390101562500074
0.62,0.010320290733482368,0.5,0.05467539428710844,0.0033498977057634565,1.843204193887632e-05,0.13524947998048512
0.62,0.0060044561863238305,0.5,0.07072820068359159,0.005814819554686765,6.277106938444009e-05,0.13803989257813518
0.62,0.009013373523370628,0.5,0.05818602416992304,0.003822070871442472,2.468484538989864e-05,0.13589778930665822
